"1","2","3","4","5","6","7","8","9","","10","","11","","12","","13","","14","15","16","","17","","18"
"1886–87 .........","2 13,402","2 11,008","2 2,394","—","48","923","—","","—","","6","","(3)","","(3)","","(3)","77","—","","—","","—","6.4"
"1887–88 .........","2 15,256","2 12,562","2 2,694","—","49","987","—","","—","","8","","(3)","","(3)","","(3)","140","—","","—","","—","6.1"
"1888–89 .........","2 15,020","2 12,397","2 2,623","—","47","1,161","—","","—","","9","","(3)","","(3)","","(3)","124","—","","—","","—","8.1"
"1889–90 .........","2 15,539","2 12,857","2 2,682","—","47","1,015","821","","194","","7","","(3)","","(3)","","(3)","149","147","","2","","—","9.0"
"1890–91 .........","2 16,840","2 13,902","2 2,938","—","53","776","—","","—","","5","","(3)","","(3)","","(3)","187","—","","—","","—","9.2"
"1891–92 .........","2 16,802","2 13,840","2 2,962","—","51","730","—","","—","","5","","(3)","","(3)","","(3)","190","—","","—","","—","13.0"
"1892–93 .........","2 18,667","2 15,342","2 3,325","—","49","1,104","—","","—","","7","","(3)","","(3)","","(3)","218","—","","—","","—","13.2"
"1893–94 .........","2 21,850","2 17,917","2 3,933","—","50","1,223","1,013","","210","","7","","(3)","","(3)","","(3)","279","261","","18","","—","18.5"
"1894–95 .........","2 24,106","2 19,723","2 4,383","—","56","1,334","1,124","","210","","7","","(3)","","(3)","","(3)","272","247","","25","","—","18.3"
"1895–96 .........","2 24,593","2 20,076","2 4,517","—","46","1,478","1,213","","265","","7","","(3)","","(3)","","(3)","271","236","","35","","—","16.0"
"1896–97 .........","2 25,231","2 20,550","2 4,681","—","43","1,413","1,163","","250","","6","","(3)","","(3)","","(3)","319","299","","20","","—","19.8"
"1897–98 .........","2 25,052","2 20,358","2 4,694","—","37","1,440","1,188","","252","","6","","(3)","","(3)","","(3)","324","285","","39","","—","15.2"
"1898–99 .........","2 25,980","2 21,064","2 4,916","—","36","1,542","1,275","","267","","6","","(3)","","(3)","","(3)","345","327","","18","","—","13.3"
"1899–1900 .....","2 27,410","2 22,173","2 5,237","2 19","2 36","1,583","1,280","","303","","6","","(3)","","(3)","","(3)","382","359","","23","","—","14.2"
"1900–01 .........","2 28,681","2 23,099","2 5,582","2 19","2 36","1,744","1,405","","339","","7","","(3)","","(3)","","(3)","365","334","","31","","—","13.7"
"1901–02 .........","2 28,966","2 23,225","2 5,741","2 19","2 34","1,858","1,464","","394","","7","","(3)","","(3)","","(3)","293","264","","29","","—","10.2"
"1902–03 .........","2 29,907","2 23,872","2 6,035","2 19","2 33","1,718","1,385","","333","","6","","(3)","","(3)","","(3)","337","302","","35","","—","11.2"
"1903–04 .........","2 30,501","2 24,237","2 6,264","2 19","2 32","1,679","1,340","","339","","6","","(3)","","(3)","","(3)","334","302","","32","","—","11.8"
"1904–05 .........","2 31,519","2 24,934","2 6,585","2 19","2 32","1,925","1,538","","387","","6","","(3)","","(3)","","(3)","369","341","","28","","—","12.9"
"1905–06 .........","2 32,019","2 25,215","2 6,804","2 19","2 32","1,787","1,366","","421","","6","","(3)","","(3)","","(3)","383","358","","25","","—","13.0"
"1906–07 .........","2 32,234","2 25,269","2 6,965","2 19","2 31","1,619","1,215","","404","","5","","(3)","","(3)","","(3)","349","320","","29","","—","12.6"
"1907–08 .........","2 33,800","2 26,376","2 7,424","2 19","2 30","1,971","1,511","","460","","6","","(3)","","(3)","","(3)","391","339","","52","","—","13.8"
"1908–09 .........","2 37,892","2 29,433","2 8,459","2 21","2 32","2,188","1,713","","475","","7","","(3)","","(3)","","(3)","451","397","","54","","—","13.6"
"1909–10 .........","2 37,199","2 28,762","2 8,437","2 20","2 30","2,113","1,555","","558","","6","","(3)","","(3)","","(3)","443","399","","44","","—","12.5"
