"1","2","3","4","5","6","7","8","9","10","","11","12","13","14","15","16","17","18"
"1941–42 .........","2 185,346","2 103,889","2 81,457","2 78","2 16","24,648","14,179","10,469","","13","(3)","(3)","(3)","3,497","3,036","461","8.8","25.5"
"1943–44 .........","2 125,863","2 55,865","2 69,998","2 52","2 10","13,414","5,711","7,703","","7","(3)","(3)","(3)","2,305","1,880","425","9.4","16.5"
"1945–46 .........","2 136,174","2 58,664","2 77,510","2 56","2 11","19,209","9,484","9,725","","15","(3)","(3)","(3)","1,966","1,580","386","11.0","14.1"
"1947–48 .........","2 271,186","2 175,615","2 95,571","2 113","2 27","42,432","28,931","13,501","","31","(3)","(3)","(3)","3,989","3,496","493","10.8","25.9"
"1948–49 .........","2 365,492","2 263,608","2 101,884","2 154","2 36","50,741","35,212","15,529","","25","(3)","(3)","(3)","5,049","4,527","522","10.2","28.7"
"1949–50 .........","2 432,058","2 328,841","2 103,217","2 182","2 40","58,183","41,220","16,963","","21","(3)","(3)","(3)","6,420","5,804","616","10.2","34.4"
"1950–51 .........","2 382,546","2 278,240","2 104,306","2 161","2 35","65,077","46,196","18,881","","18","(3)","(3)","(3)","7,337","6,663","674","9.8","39.5"
"1951–52 .........","2 329,986","2 225,981","2 104,005","2 143","2 28","63,534","43,557","19,977","","15","(3)","(3)","(3)","7,683","6,969","714","9.8","41.5"
"1952–53 .........","2 303,049","2 199,793","2 103,256","2 132","2 25","60,959","40,946","20,013","","16","(3)","(3)","(3)","8,307","7,515","792","9.7","53.4"
"1953–54 .........","2 291,508","2 186,884","2 104,624","2 129","2 24","56,823","38,147","18,676","","17","(3)","(3)","(3)","8,996","8,181","815","9.7","71.5"
"1954–55 .........","2 285,841","2 182,839","2 103,002","2 151","2 24","58,200","38,739","19,461","","19","(3)","(3)","(3)","8,840","8,014","826","9.9","67.5"
"1955–56 .........","2 309,514","2 198,615","2 110,899","2 147","2 26","59,281","39,393","19,888","","20","(3)","(3)","(3)","8,903","8,018","885","10.3","65.4"
"1956–57 .........","2 338,436","2 221,650","2 116,786","2 163","2 28","61,940","41,329","20,611","","22","(3)","(3)","(3)","8,756","7,817","939","10.2","43.0"
"1957–58 .........","2 363,502","2 241,560","2 121,942","2 167","2 28","65,586","44,229","21,357","","21","(3)","(3)","(3)","8,942","7,978","964","10.3","33.0"
"1958–59 .........","2 379,931","2 252,517","2 127,414","2 178","2 28","72,532","48,360","24,172","","21","(3)","(3)","(3)","9,360","8,371","989","10.3","25.6"
"1959–60 4 .......","2 392,440","2 254,063","2 138,377","2 182","2 27","74,435","50,898","23,537","","20","(3)","(3)","(3)","9,829","8,801","1,028","10.4","22.7"
"1960–61 .........","365,174","224,538","140,636","165","25","84,609","57,830","26,779","","22","25,253","24,577","676","10,575","9,463","1,112","10.3","27.6"
"1961–62 .........","383,961","230,456","153,505","173","25","91,418","62,603","28,815","","23","25,607","24,836","771","11,622","10,377","1,245","10.2","35.2"
"1962–63 .........","411,420","241,309","170,111","181","25","98,684","67,302","31,382","","27","26,590","25,753","837","12,822","11,448","1,374","10.2","42.3"
"1963–64 .........","461,266","265,349","195,917","192","25","109,183","73,850","35,333","","28","27,209","26,357","852","14,490","12,955","1,535","10.0","49.7"
"1964–65 .........","493,757","282,173","211,584","194","25","121,167","81,319","39,848","","29","28,290","27,283","1,007","16,467","14,692","1,775","10.0","57.6"
